Site;Placette;No_passage;espece;Abondance;genre_famille;Abondance;remarque
TGF;34;1;somatochlora_alpestris;1;;;
TGF;36;1;somatochlora_arctica;1;;;
TGF;101;1;leucorrhinia_dubia;1;;;
TGF;37;1;somatochlora_alpestris;1;;;
TGF;27;1;leucorrhinia_dubia;3;;;
TGF;28;1;;;libellulidae_degradees;1;sûrement l. dubia 
TGF;28;1;leucorrhinia_dubia;1;;;
TGF;41;1;somatochlora_arctica;1;;;
TGF;41;1;;;libellulidae_degradees;1;sûrement l. dubia 
TGF;35;1;somatochlora_alpestris;1;;;
TGF;112;1;somatochlora_alpestris;1;;;
TGF;112;1;;;zygoptere;1;
TGF;124;1;somatochlora_arctica;1;;;
TGF;23;1;;;libellulidae_degradees;1;sûrement l. dubia 
TGF;23;1;leucorrhinia_dubia;4;;;
TGF;23;1;somatochlora_arctica;1;;;
TGF;29;1;leucorrhinia_dubia;9;;;
TGF;39;1;somatochlora_arctica;1;;;
TGF;39;1;leucorrhinia_dubia;15;;;
TGF;39;1;;;libellulidae_degradees;1;sûrement l. dubia 
TGF;40;1;leucorrhinia_dubia;9;;;
TGF;40;1;;;libellulidae_degradees;4;sûrement l. dubia 
TGF;40;1;aeshna_juncea;1;;;
TGF;38;1;leucorrhinia_dubia;4;;;
TGF;38;1;somatochlora_arctica;3;;;
TGF;38;1;aeshna_juncea;1;;;
TGF;11;2;aeshna_juncea;1;;;
TGF;41;2;aeshna_subarctica_elisabethae;1;;;
TGF;34;2;aeshna_cyanea;1;;;
TGF;35;2;aeshna_juncea;1;;;
TGF;31;3;;;aeshnidae;1;
TGF;101;3;aeshna_cyanea;3;;;
TGF;35;3;;;aeshnidae;1;sûrement a. cyanea
TGF;28;3;leucorrhinia_dubia;1;;;larve morte
TGF;38;3;;;libellulidae_degradees;3;
