espece;tot_exuvies_TGF;tot_exuvies_RNM;tot_exuvies_TDC;tot_placettes_TGF;tot_placettes_RNM;tot_placettes_TDC
aeshna_cyanea;1;23,0;0;1;3;0
aeshna_juncea;10;10,0;0;5;8;0
aeshna_subarctica_elisabethae;14;0,0;2;4;0;1
aeshnidae;1;0,0;0;1;0;0
aeshnidae_stade_intermediaire;5;0,0;0;2;0;0
anax_imperator;0;0,0;1;0;0;1
chalcolestes_viridis;0;0,0;0;0;0;3
cordulia_aenea;0;33,0;1;0;9;1
cordulie_degradee;0;0,0;1;0;0;1
degradee;1;0,0;11;1;0;1
leucorrhinia_dubia;34;25,0;178;5;9;21
leucorrhinia_dubia ou sympetrum_danae;0;0,0;17;0;0;6
libellula_quadrimaculata;5;6,0;0;2;5;0
libellulidae;0;0,0;10;0;0;1
libellulidae_degradees;0;0,0;10;0;0;1
somatochlora_alpestris;3;0,0;0;2;0;0
somatochlora_arctica;2;8,0;4;1;6;3
sympecma_fusca;0;0,0;0;0;0;1
sympetrum_danae;0;1,0;17;0;1;4
aeschnide;0;4,0;0;0;3;0
aeshna cyanea;0;11,0;0;0;1;0
aeshna juncea;0;NA;0;0;3;0
aeshna sp;0;2,0;0;0;2;0
aeshna subarctica;0;5,5;0;0;5;0
aeshna_subarctica;0;4,0;0;0;4;0
cordulegaster_bitentata;0;1,0;0;0;1;0
libellulaellulidae_indetermine;0;2,0;0;0;1;0
somatochlora arctica;0;1,0;0;0;1;0
