habitat_predominant;tot_exuvies_TGF;tot_exuvies_TDC;tot_exuvies_RNM;tot_placettes_TGF;tot_placettes_TDC;tot_placettes_RNM
bas_marais;0;0;0;15;0;0
eau_libre;0;149;101;0;11;20
fosse_d_extraction;74;0;0;15;0;0
groupement_a_carex_rostrata;0;114;0;0;15;0
groupement_a_sphaignes_rouges;0;0;0;0;12;0
mare_a_scheuchzerie;0;1;0;0;16;0
mare_a_sphaigne_verte;0;0;0;0;5;0
mare_a_sphaignes;0;0;0;6;0;0
mare_d_eau_libre;2;0;0;11;0;0
tourbiere_tremblante;0;3;0;0;17;0
zone_a_sphaignes;1;0;0;15;0;0
tourbiere_erodee;0;0;5;0;0;22
tourbiere_haute;0;0;1;0;0;21
tremblant;0;0;38;0;0;20
vegetation_non_tourbeuse;0;0;0;0;0;21
